Fund Name,Fund Ticker,1 Month,3 Month,6 Month,YTD,Since Inception Cumulative,1 Year,3 Year,5 Year,Since Inception Annualized,Date
FIS Bright Portfolios Focused Equity ETF,BRIF NAV,-,-,-,-,-,-,-,-,-,12/31/2024
FIS Bright Portfolios Focused Equity ETF,BRIF MKT,-,-,-,-,-,-,-,-,-,12/31/2024
,,,,,,,,,,,
FIS Knights of Columbus Global Belief ETF,KOCG NAV,-1.24,2.37,8.73,21.84,18.81,21.84,4.79,-,5.10,12/31/2024
FIS Knights of Columbus Global Belief ETF,KOCG MKT,-1.47,2.54,8.52,21.10,18.59,21.10,4.59,-,5.04,12/31/2024
FTSE All World Index - TR Net Tax,TAWNT01U,-2.32,-1.17,5.56,17.20,22.35,17.20,5.42,-,5.99,12/31/2024
MSCI ACWI Net Total Return Index  (USD),NDUEACWF,-2.37,-0.99,5.56,17.49,22.57,17.49,5.44,-,6.04,12/31/2024
FIS Christian Stock Fund,PRAY NAV,-5.86,-2.85,4.04,13.35,18.33,13.35,-,-,5.98,12/31/2024
FIS Christian Stock Fund,PRAY MKT,-5.59,-2.50,4.02,13.02,18.64,13.02,-,-,6.08,12/31/2024
MSCI THE WORLD INDEX Net (USD),NDDUWI,-2.61,-0.16,6.20,18.67,26.93,18.67,-,-,8.58,12/31/2024
S&P 500 TR,SPTR2,-2.38,2.41,8.44,25.02,37.27,25.02,-,-,11.56,12/31/2024
